STATE_NAME,COUNTY_NAME,countyFIPS,HOSPITAL_TYPE,State,STATE_FIPS,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE
Alabama,Autauga,1001.0,Short Term Acute Care Hospital,AL,1.0,85.0,55.0,6,6,0.0,0.62311333,30,2
Alabama,Baldwin,1003.0,Short Term Acute Care Hospital,AL,1.0,58.0,55.0,4,4,0.0,0.28513077,3,2
Alabama,Baldwin,1003.0,Short Term Acute Care Hospital,AL,1.0,112.0,112.0,30,30,0.0,0.60122311,0,3
Alabama,Baldwin,1003.0,Psychiatric Hospital,AL,1.0,66.0,66.0,0,0,0.0,0.59240347,0,0
Alabama,Baldwin,1003.0,Short Term Acute Care Hospital,AL,1.0,150.0,129.0,17,17,0.0,0.77005416,21,3
Alabama,Barbour,1005.0,Short Term Acute Care Hospital,AL,1.0,74.0,30.0,5,5,0.0,0.37872148,44,2
Alabama,Bibb,1007.0,Short Term Acute Care Hospital,AL,1.0,35.0,25.0,4,4,0.0,0.43090412,10,1
Alabama,Blount,1009.0,Critical Access Hospital,AL,1.0,25.0,25.0,6,6,0.0,0.4990685,0,2
Alabama,Bullock,1011.0,Short Term Acute Care Hospital,AL,1.0,61.0,30.0,5,5,0.0,0.21287671,31,1
Alabama,Butler,1013.0,Short Term Acute Care Hospital,AL,1.0,72.0,44.0,7,7,0.0,0.18711084,28,2
Alabama,Calhoun,1015.0,Short Term Acute Care Hospital,AL,1.0,323.0,272.0,18,18,0.0,0.51079774,51,11
Alabama,Calhoun,1015.0,Long Term Acute Care Hospital,AL,1.0,38.0,38.0,6,6,0.0,0.52480173,0,2
Alabama,Calhoun,1015.0,Short Term Acute Care Hospital,AL,1.0,125.0,125.0,6,6,0.0,0.25909042,0,2
Alabama,Chambers,1017.0,Short Term Acute Care Hospital,AL,1.0,115.0,84.0,15,15,,0.39872646,31,0
Alabama,Cherokee,1019.0,Short Term Acute Care Hospital,AL,1.0,60.0,45.0,8,8,0.0,0.24253164,15,1
Alabama,Chilton,1021.0,Short Term Acute Care Hospital,AL,1.0,30.0,26.0,6,6,0.0,0.28545839,4,2
Alabama,Choctaw,1023.0,Critical Access Hospital,AL,1.0,25.0,25.0,4,4,0.0,0.22071233,0,0
Alabama,Clarke,1025.0,Short Term Acute Care Hospital,AL,1.0,35.0,35.0,6,6,0.0,0.26684931,0,1
Alabama,Clarke,1025.0,Short Term Acute Care Hospital,AL,1.0,50.0,21.0,4,4,0.0,0.31272015,29,1
Alabama,Clay,1027.0,Short Term Acute Care Hospital,AL,1.0,45.0,46.0,4,4,0.0,0.28064325,-1,2
Alabama,Coffee,1031.0,Short Term Acute Care Hospital,AL,1.0,131.0,99.0,7,7,0.0,0.27961808,32,2
Alabama,Colbert,1033.0,Short Term Acute Care Hospital,AL,1.0,198.0,122.0,10,10,0.0,0.12234449,76,2
Alabama,Colbert,1033.0,Short Term Acute Care Hospital,AL,1.0,185.0,178.0,12,12,0.0,0.38922581,7,4
Alabama,Conecuh,1035.0,Short Term Acute Care Hospital,AL,1.0,58.0,44.0,8,8,0.0,0.29383561,14,0
Alabama,Covington,1039.0,Short Term Acute Care Hospital,AL,1.0,99.0,45.0,5,5,0.0,0.30630136,54,2
Alabama,Covington,1039.0,Short Term Acute Care Hospital,AL,1.0,88.0,83.0,8,8,0.0,0.33371845,5,2
Alabama,Crenshaw,1041.0,Psychiatric Hospital,AL,1.0,28.0,28.0,0,0,,,0,0
