Date,CA,FL,NC,NY,PA,TX
2020-01-22,,,,,,
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,1.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,1.0,0.0,0.0,3.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,2.0,0.0,0.0
2020-03-09,2.0,0.0,0.0,2.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,1.0,0.0,0.0
2020-03-11,1.0,0.0,1.0,2.0,0.0,0.0
2020-03-12,1.0,0.0,0.0,6.0,0.0,0.0
2020-03-13,3.0,1.0,0.0,3.0,1.0,0.0
2020-03-14,2.0,1.0,1.0,7.0,0.0,0.0
2020-03-15,3.0,0.0,0.0,6.0,1.0,0.0
2020-03-16,3.0,2.0,1.0,10.0,1.0,0.0
2020-03-17,5.0,3.0,0.0,37.0,2.0,1.0
2020-03-18,5.0,5.0,2.0,77.0,3.0,1.0
2020-03-19,5.0,5.0,7.0,133.0,4.0,3.0
2020-03-20,7.0,10.0,0.0,114.0,7.0,3.0
2020-03-21,5.0,5.0,4.0,224.0,8.0,1.0
2020-03-22,8.0,11.0,6.0,186.0,8.0,2.0
2020-03-23,12.0,10.0,3.0,261.0,13.0,12.0
2020-03-24,10.0,9.0,10.0,240.0,16.0,7.0
2020-03-25,13.0,26.0,10.0,378.0,27.0,11.0
2020-03-26,22.0,22.0,12.0,309.0,38.0,13.0
2020-03-27,22.0,34.0,13.0,300.0,41.0,12.0
2020-03-28,21.0,39.0,16.0,436.0,42.0,11.0
2020-03-29,16.0,42.0,22.0,305.0,50.0,15.0
2020-03-30,24.0,35.0,13.0,406.0,54.0,15.0
2020-03-31,30.0,48.0,18.0,376.0,59.0,18.0
2020-04-01,34.0,38.0,8.0,395.0,75.0,23.0
2020-04-02,31.0,67.0,26.0,424.0,95.0,24.0
2020-04-03,34.0,59.0,23.0,682.0,110.0,26.0
2020-04-04,33.0,59.0,29.0,526.0,125.0,23.0
2020-04-05,33.0,38.0,17.0,428.0,116.0,22.0
2020-04-06,30.0,60.0,27.0,445.0,115.0,20.0
2020-04-07,29.0,52.0,33.0,419.0,124.0,37.0
2020-04-08,38.0,44.0,20.0,539.0,131.0,37.0
2020-04-09,29.0,53.0,22.0,538.0,155.0,29.0
2020-04-10,31.0,53.0,24.0,544.0,137.0,51.0
2020-04-11,25.0,47.0,38.0,511.0,131.0,32.0
2020-04-12,22.0,41.0,20.0,423.0,92.0,27.0
2020-04-13,25.0,54.0,25.0,326.0,106.0,17.0
2020-04-14,36.0,28.0,20.0,369.0,90.0,14.0
2020-04-15,31.0,42.0,11.0,595.0,89.0,45.0
2020-04-16,26.0,38.0,26.0,437.0,97.0,32.0
2020-04-17,33.0,66.0,46.0,378.0,133.0,32.0
2020-04-18,36.0,35.0,25.0,364.0,127.0,17.0
2020-04-19,19.0,38.0,31.0,311.0,95.0,29.0
2020-04-20,58.0,35.0,23.0,243.0,74.0,12.0
2020-04-21,49.0,38.0,16.0,229.0,101.0,25.0
2020-04-22,47.0,33.0,22.0,290.0,90.0,30.0
2020-04-23,47.0,50.0,29.0,304.0,107.0,30.0
2020-04-24,45.0,41.0,38.0,418.0,125.0,30.0
2020-04-25,32.0,14.0,43.0,542.0,109.0,33.0
2020-04-26,28.0,32.0,24.0,303.0,87.0,29.0
2020-04-27,38.0,28.0,19.0,203.0,69.0,23.0
2020-04-28,31.0,33.0,48.0,160.0,95.0,29.0
2020-04-29,60.0,16.0,32.0,236.0,86.0,30.0
2020-04-30,39.0,23.0,48.0,241.0,109.0,35.0
2020-05-01,49.0,48.0,86.0,203.0,94.0,39.0
2020-05-02,37.0,34.0,56.0,240.0,104.0,44.0
2020-05-03,32.0,29.0,15.0,177.0,75.0,34.0
2020-05-04,31.0,38.0,17.0,130.0,64.0,27.0
2020-05-05,65.0,25.0,39.0,115.0,68.0,36.0
2020-05-06,49.0,26.0,48.0,143.0,69.0,36.0
2020-05-07,42.0,38.0,60.0,179.0,84.0,39.0
2020-05-08,56.0,17.0,45.0,151.0,103.0,42.0
2020-05-09,56.0,37.0,47.0,140.0,84.0,43.0
2020-05-10,30.0,28.0,38.0,117.0,101.0,34.0
2020-05-11,36.0,18.0,27.0,85.0,42.0,34.0
2020-05-12,41.0,42.0,29.0,74.0,65.0,40.0
2020-05-13,52.0,23.0,45.0,112.0,56.0,46.0
2020-05-14,46.0,38.0,66.0,123.0,73.0,49.0
2020-05-15,52.0,43.0,60.0,142.0,77.0,46.0
2020-05-16,46.0,31.0,81.0,124.0,77.0,62.0
2020-05-17,35.0,36.0,51.0,97.0,49.0,27.0
2020-05-18,44.0,40.0,48.0,64.0,64.0,31.0
2020-05-19,50.0,23.0,65.0,76.0,48.0,41.0
2020-05-20,56.0,25.0,41.0,78.0,58.0,44.0
2020-05-21,56.0,56.0,70.0,107.0,76.0,36.0
2020-05-22,62.0,36.0,72.0,87.0,68.0,46.0
2020-05-23,48.0,32.0,105.0,91.0,57.0,37.0
2020-05-24,45.0,34.0,47.0,82.0,57.0,29.0
2020-05-25,56.0,41.0,69.0,64.0,37.0,21.0
2020-05-26,80.0,24.0,17.0,55.0,35.0,22.0
