Date,CA,FL,NC,NY,PA,TX
1/22/20_y,,,,,,
1/23/20_y,0.0,0.0,0.0,0.0,0.0,0.0
1/24/20_y,0.0,0.0,0.0,0.0,0.0,0.0
1/25/20_y,0.0,0.0,0.0,0.0,0.0,0.0
1/26/20_y,0.0,0.0,0.0,0.0,0.0,0.0
1/27/20_y,0.0,0.0,0.0,0.0,0.0,0.0
1/28/20_y,0.0,0.0,0.0,0.0,0.0,0.0
1/29/20_y,0.0,0.0,0.0,0.0,0.0,0.0
1/30/20_y,0.0,0.0,0.0,0.0,0.0,0.0
1/31/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/1/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/2/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/3/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/4/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/5/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/6/20_y,1.0,0.0,0.0,0.0,0.0,0.0
2/7/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/8/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/9/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/10/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/11/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/12/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/13/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/14/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/15/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/16/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/17/20_y,1.0,0.0,0.0,0.0,0.0,0.0
2/18/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/19/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/20/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/21/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/22/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/23/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/24/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/25/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/26/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/27/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/28/20_y,0.0,0.0,0.0,0.0,0.0,0.0
2/29/20_y,0.0,0.0,0.0,0.0,0.0,0.0
3/1/20_y,0.0,0.0,0.0,0.0,0.0,0.0
3/2/20_y,0.0,0.0,0.0,0.0,0.0,0.0
3/3/20_y,0.0,0.0,0.0,0.0,0.0,0.0
3/4/20_y,1.0,0.0,0.0,0.0,0.0,0.0
3/5/20_y,0.0,0.0,0.0,0.0,0.0,0.0
3/6/20_y,1.0,2.0,0.0,0.0,0.0,0.0
3/7/20_y,0.0,0.0,0.0,0.0,0.0,0.0
3/8/20_y,0.0,0.0,0.0,0.0,0.0,0.0
3/9/20_y,1.0,0.0,0.0,0.0,0.0,0.0
3/10/20_y,1.0,0.0,0.0,0.0,0.0,0.0
3/11/20_y,1.0,0.0,0.0,0.0,0.0,0.0
3/12/20_y,0.0,0.0,0.0,0.0,0.0,0.0
3/13/20_y,0.0,0.0,0.0,0.0,0.0,0.0
3/14/20_y,0.0,1.0,0.0,2.0,0.0,0.0
3/15/20_y,2.0,0.0,0.0,0.0,0.0,0.0
3/16/20_y,5.0,2.0,0.0,4.0,0.0,1.0
3/17/20_y,3.0,1.0,0.0,2.0,0.0,0.0
3/18/20_y,3.0,1.0,0.0,4.0,1.0,1.0
3/19/20_y,2.0,1.0,0.0,0.0,0.0,2.0
3/20/20_y,5.0,0.0,0.0,-2.0,0.0,1.0
3/21/20_y,3.0,0.0,0.0,4.0,1.0,0.0
3/22/20_y,6.0,5.0,0.0,102.0,0.0,0.0
3/23/20_y,7.0,4.0,0.0,33.0,4.0,4.0
